GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proiektua23,net.bytebuddy.utility,JavaConstant.MethodType.Dispatcher.CreationAction,34,0,0,0,6,0,2,0,2,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodType,237,0,14,0,42,0,29,0,22,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodType.Dispatcher.ForLegacyVm,24,0,0,0,4,0,3,0,3,0
proiektua23,net.bytebuddy.utility,JavaType,510,0,14,0,53,0,16,0,9,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle.Dispatcher.ForLegacyVm,29,0,0,0,5,0,4,0,4,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle,403,0,24,0,80,0,36,0,24,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle.Dispatcher.CreationAction,143,0,0,0,23,0,2,0,2,0
proiektua23,net.bytebuddy.utility,RandomString,9,162,3,13,1,28,3,12,0,7
proiektua23,net.bytebuddy.utility,JavaConstant.Dynamic,952,0,118,0,158,0,89,0,30,0
proiektua23,net.bytebuddy.utility,OpenedClassReader,88,0,2,0,19,0,4,0,3,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodType.Dispatcher.ForJava7CapableVm,110,0,10,0,15,0,11,0,6,0
proiektua23,net.bytebuddy.utility,JavaModule.Dispatcher.Disabled,58,0,0,0,12,0,11,0,11,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle.Dispatcher.AbstractBase,350,0,22,0,51,0,23,0,12,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle.Dispatcher.ForJava8CapableVm,84,0,10,0,9,0,10,0,5,0
proiektua23,net.bytebuddy.utility,JavaModule.Dispatcher.Enabled,670,0,28,0,68,0,28,0,14,0
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle.HandleType,212,0,22,0,32,0,19,0,8,0
proiektua23,net.bytebuddy.utility,JavaModule,248,0,24,0,48,0,29,0,17,0
proiektua23,net.bytebuddy.utility,CompoundList,33,67,0,4,7,16,2,5,2,3
proiektua23,net.bytebuddy.utility,StreamDrainer,33,105,8,8,0,23,6,8,2,4
proiektua23,net.bytebuddy.utility,JavaConstant.MethodHandle.Dispatcher.ForJava7CapableVm,114,0,10,0,17,0,11,0,6,0
proiektua23,net.bytebuddy.utility,JavaModule.Dispatcher.CreationAction,126,0,0,0,15,0,2,0,2,0
proiektua23,javax.persistence.metamodel,PluralAttribute.CollectionType,44,0,0,0,5,0,1,0,1,0
proiektua23,javax.persistence.metamodel,Attribute.PersistentAttributeType,74,0,0,0,8,0,1,0,1,0
proiektua23,javax.persistence.metamodel,Bindable.BindableType,34,0,0,0,4,0,1,0,1,0
